Coater_Pin
-915000	-740000
-450000	-740000
0	-740000
450000	-740000
915000	-740000
-695000	-500000
-250000	-500000
250000	-500000
695000	-500000
-915000	-350000
-450000	-350000
0	-350000
450000	-350000
915000	-350000
-695000	-150000
-250000	-150000
0	-150000
250000	-150000
695000	-150000
-915000	0
-450000	0
450000	0
915000	0
-695000	150000
-250000	150000
0	150000
250000	150000
695000	150000
-915000	350000
-450000	350000
0	350000
450000	350000
915000	350000
-695000	500000
-250000	500000
250000	500000
695000	500000
-915000	740000
-450000	740000
0	740000
450000	740000
915000	740000
